1,   2,   3,   4,   5,   6,   7,   8,   9,   10,  11,  12,  13,  14,  15  
T,   T,   T,   I(P),T,   C,   T,   D,   T,   F,   T,   I(T),T,   T,   T   
T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   T
F,    ,   T,   T,   T,   T,   T,   T,   T,    ,   T,   T,    ,    ,   C
T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   T
T,    ,   T,    ,   T,   T,   T,    ,   T,   T,   T,    ,   T,    ,   T
T,    ,   T,    ,   T,    ,    ,    ,    ,    ,   T,    ,   T,    ,   T
T,    ,   T,    ,   T,    ,   T,   T,   T,   T,   T,    ,   T,    ,   T
C,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   F
T,    ,   T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   T
T,   T,   T,   I(O),T,   F,   T,   A,   T,   C,   T,   I(S),T,   I(C),T   
